Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
5/10/2000,3.508,1.758,0.323,-0.209,0.894,0.742,3.109,0.376,0.023
5/11/2000,3.493,1.68,0.252,-0.184,1.08,0.665,3.108,0.354,0.031
5/12/2000,3.411,1.736,0.217,-0.058,1.008,0.508,2.945,0.457,0.009
5/15/2000,3.323,1.759,0.129,-0.161,1.179,0.417,2.932,0.389,0.002
5/16/2000,2.952,1.787,0.09,-0.228,0.948,0.355,2.622,0.334,-0.004
5/17/2000,3.393,1.762,0.144,-0.202,1.282,0.407,3.046,0.335,0.012
5/18/2000,3.703,1.786,0.175,-0.159,1.473,0.428,3.274,0.41,0.019
5/19/2000,4.086,1.865,0.264,-0.075,1.536,0.496,3.501,0.565,0.02
5/22/2000,4.148,1.923,0.284,-0.103,1.475,0.569,3.502,0.608,0.038
5/23/2000,4.377,2.012,0.362,-0.068,1.503,0.568,3.616,0.72,0.041
5/24/2000,4.205,2.124,0.286,-0.123,1.435,0.483,3.401,0.756,0.048
5/25/2000,4.597,2.215,0.337,-0.116,1.735,0.426,3.788,0.768,0.041
5/26/2000,4.754,2.257,0.348,-0.067,1.795,0.421,3.857,0.86,0.037
5/30/2000,4.715,2.203,0.215,-0.018,1.906,0.409,3.824,0.859,0.032
5/31/2000,5.007,2.324,0.226,-0.098,2.134,0.421,4.08,0.89,0.037
6/1/2000,4.564,2.285,0.139,-0.204,2.009,0.335,3.785,0.752,0.027
6/2/2000,4.352,2.419,0.057,-0.154,1.755,0.275,3.399,0.931,0.022
6/5/2000,4.235,2.449,0.087,-0.124,1.489,0.334,3.18,1.029,0.026
6/6/2000,4.222,2.363,0.116,-0.007,1.349,0.401,3.116,1.079,0.027
6/7/2000,4.414,2.318,0.077,0.049,1.565,0.405,3.259,1.13,0.025
6/8/2000,4.3,2.177,0.104,0.013,1.59,0.416,3.32,0.958,0.022
6/9/2000,4.185,2.216,0.119,-0.052,1.599,0.303,3.235,0.93,0.02
6/12/2000,4.281,2.218,0.151,-0.061,1.652,0.321,3.31,0.943,0.028
6/13/2000,4.103,2.24,0.082,-0.039,1.513,0.307,3.104,0.97,0.029
6/14/2000,4.108,2.204,0.081,-0.055,1.629,0.249,3.154,0.924,0.03
6/15/2000,3.977,2.193,0.061,-0.05,1.57,0.203,3.002,0.945,0.03
6/16/2000,4.146,2.247,0.103,-0.056,1.579,0.273,3.047,1.023,0.076
6/19/2000,4.051,2.192,0.008,-0.05,1.606,0.295,2.988,0.993,0.07
6/20/2000,4.192,2.182,0.041,-0.026,1.612,0.383,3.076,1.039,0.077
6/21/2000,4.053,2.112,0.026,0.003,1.529,0.383,2.97,1.016,0.067
6/22/2000,4.241,2.079,0.106,0.018,1.518,0.52,3.136,1.035,0.07
6/23/2000,4.255,2.043,0.134,0.037,1.507,0.534,3.162,1.028,0.065
6/26/2000,4.169,2.099,0.093,-0.03,1.551,0.456,3.113,0.991,0.065
6/27/2000,4.137,2.128,0.111,0.018,1.511,0.369,3.034,1.037,0.066
6/28/2000,3.956,2.092,0.096,-0.014,1.529,0.253,2.935,0.956,0.065
6/29/2000,4.177,2.173,0.133,-0.017,1.642,0.246,3.071,1.038,0.068
6/30/2000,4.302,2.265,0.188,-0.042,1.666,0.225,3.18,1.066,0.056
7/3/2000,4.1,2.202,0.149,-0.03,1.554,0.225,3.024,1.023,0.053
7/5/2000,3.946,2.196,0.221,-0.083,1.309,0.303,2.919,0.966,0.061
7/6/2000,3.904,2.116,0.237,-0.061,1.303,0.309,2.932,0.907,0.065
7/7/2000,3.564,2.125,0.171,-0.121,1.218,0.171,2.654,0.849,0.061
7/10/2000,3.551,2.036,0.181,-0.048,1.148,0.234,2.657,0.829,0.065
7/11/2000,3.457,2.053,0.166,-0.075,1.089,0.224,2.558,0.832,0.067
7/12/2000,3.153,2.048,0.133,-0.146,0.953,0.165,2.363,0.739,0.051
7/13/2000,3.107,2.04,0.126,-0.19,0.961,0.17,2.34,0.713,0.054
7/14/2000,3.098,2.004,0.088,-0.116,0.97,0.152,2.282,0.763,0.053
7/17/2000,3.165,2.003,0.095,-0.106,1.013,0.16,2.321,0.783,0.061
7/18/2000,3.075,1.993,0.144,-0.159,1.046,0.051,2.353,0.705,0.017
7/19/2000,2.973,1.963,0.181,-0.167,0.961,0.035,2.295,0.66,0.018
7/20/2000,2.877,2.005,0.144,-0.179,0.953,-0.046,2.183,0.683,0.011
7/21/2000,2.918,1.972,0.188,-0.231,1.006,-0.017,2.281,0.621,0.016
7/24/2000,2.913,1.93,0.236,-0.222,0.949,0.02,2.325,0.575,0.013
7/25/2000,2.807,1.995,0.207,-0.23,0.859,-0.024,2.171,0.624,0.012
7/26/2000,2.849,1.966,0.272,-0.24,0.893,-0.042,2.23,0.609,0.01
7/27/2000,2.927,2.028,0.281,-0.281,0.956,-0.057,2.304,0.615,0.008
7/28/2000,3.165,2.035,0.372,-0.303,1.03,0.031,2.548,0.606,0.011
7/31/2000,3.23,2.146,0.335,-0.283,1.013,0.019,2.56,0.68,-0.01
8/1/2000,3.083,2.169,0.317,-0.35,0.941,0.006,2.433,0.654,-0.004
8/2/2000,3.097,2.176,0.319,-0.328,0.952,-0.022,2.42,0.678,-0.001
8/3/2000,3.106,2.19,0.306,-0.335,0.996,-0.051,2.418,0.698,-0.01
8/4/2000,3.03,2.196,0.278,-0.364,1.021,-0.101,2.334,0.692,0.004
8/7/2000,2.904,2.214,0.229,-0.371,0.898,-0.066,2.196,0.695,0.013
8/8/2000,2.706,2.137,0.22,-0.361,0.778,-0.068,2.026,0.666,0.014
8/9/2000,2.799,2.159,0.252,-0.342,0.765,-0.035,2.058,0.721,0.02
8/10/2000,2.592,2.065,0.292,-0.42,0.699,-0.044,1.984,0.581,0.027
8/11/2000,2.545,2.121,0.259,-0.435,0.711,-0.111,1.904,0.611,0.03
8/14/2000,2.411,2.115,0.201,-0.465,0.687,-0.127,1.789,0.589,0.033
8/15/2000,2.412,2.072,0.226,-0.398,0.633,-0.121,1.764,0.612,0.036
8/16/2000,2.491,2.065,0.241,-0.353,0.699,-0.161,1.846,0.623,0.022
8/17/2000,2.545,2.073,0.195,-0.36,0.723,-0.086,1.824,0.66,0.061
8/18/2000,2.469,2.084,0.21,-0.392,0.682,-0.115,1.775,0.634,0.06
8/21/2000,2.36,2.038,0.193,-0.397,0.609,-0.083,1.723,0.579,0.058
8/22/2000,2.498,2.114,0.2,-0.4,0.692,-0.108,1.789,0.651,0.058
8/23/2000,2.482,2.122,0.177,-0.336,0.616,-0.097,1.685,0.74,0.057
8/24/2000,2.487,2.14,0.174,-0.321,0.626,-0.132,1.669,0.757,0.061
8/25/2000,2.529,2.087,0.181,-0.305,0.712,-0.146,1.743,0.724,0.062
8/28/2000,2.443,2.103,0.161,-0.271,0.576,-0.126,1.605,0.775,0.063
8/29/2000,2.429,2.026,0.177,-0.247,0.553,-0.08,1.608,0.753,0.068
8/30/2000,2.534,1.992,0.204,-0.257,0.669,-0.074,1.761,0.705,0.068
8/31/2000,2.428,2.047,0.16,-0.311,0.662,-0.13,1.666,0.69,0.072
9/1/2000,2.507,2.118,0.157,-0.309,0.692,-0.151,1.708,0.725,0.074
9/5/2000,2.652,2.119,0.201,-0.317,0.698,-0.049,1.841,0.74,0.071
9/6/2000,2.856,2.16,0.249,-0.344,0.764,0.027,2.018,0.767,0.071
9/7/2000,2.95,2.159,0.218,-0.289,0.824,0.038,2.03,0.848,0.072
9/8/2000,2.817,1.993,0.246,-0.328,0.906,0,2.087,0.64,0.09
9/11/2000,2.727,1.987,0.264,-0.306,0.808,-0.026,1.996,0.645,0.086
9/12/2000,2.721,1.953,0.288,-0.313,0.829,-0.036,2.026,0.6,0.095
9/13/2000,2.731,1.989,0.283,-0.344,0.895,-0.092,2.04,0.593,0.098
9/14/2000,2.704,2.039,0.298,-0.343,0.799,-0.089,1.993,0.612,0.099
9/15/2000,2.855,1.987,0.345,-0.303,0.868,-0.042,2.122,0.615,0.118
9/18/2000,2.854,1.976,0.403,-0.254,0.786,-0.057,2.161,0.611,0.082
9/19/2000,2.748,2.001,0.354,-0.26,0.764,-0.111,2.03,0.63,0.088
9/20/2000,2.832,1.979,0.381,-0.217,0.747,-0.058,2.088,0.653,0.091
9/21/2000,2.858,2.013,0.389,-0.244,0.75,-0.05,2.087,0.678,0.093
9/22/2000,2.989,2.085,0.385,-0.262,0.764,0.017,2.182,0.706,0.101
9/25/2000,2.992,2.003,0.421,-0.244,0.752,0.06,2.208,0.675,0.109
9/26/2000,3.069,2.073,0.459,-0.24,0.743,0.034,2.241,0.718,0.11
9/27/2000,2.971,2.002,0.461,-0.202,0.696,0.014,2.19,0.671,0.11
9/28/2000,2.979,2.096,0.36,-0.236,0.873,-0.114,2.133,0.732,0.114
9/29/2000,3.229,2.112,0.438,-0.261,1.017,-0.077,2.4,0.712,0.117
10/2/2000,3.241,2.125,0.513,-0.289,0.915,-0.023,2.438,0.68,0.123
10/3/2000,3.215,2.102,0.551,-0.261,0.835,-0.012,2.421,0.671,0.123
10/4/2000,3.156,2.113,0.529,-0.265,0.839,-0.06,2.397,0.638,0.121
10/5/2000,3.125,2.095,0.525,-0.275,0.864,-0.084,2.406,0.596,0.123
10/6/2000,3.362,2.132,0.612,-0.277,0.999,-0.104,2.681,0.567,0.114
10/9/2000,3.402,2.197,0.63,-0.285,0.904,-0.044,2.683,0.605,0.114
10/10/2000,3.755,2.212,0.679,-0.243,1.073,0.034,2.98,0.667,0.108
10/11/2000,3.983,2.344,0.746,-0.252,1.04,0.105,3.146,0.738,0.099
10/12/2000,4.592,2.422,0.855,-0.275,1.111,0.479,3.631,0.833,0.128
10/13/2000,4.355,2.456,0.701,-0.282,1.095,0.385,3.387,0.826,0.142
10/16/2000,4.103,2.401,0.7,-0.282,0.97,0.314,3.191,0.766,0.146
10/17/2000,4.158,2.491,0.769,-0.286,0.889,0.295,3.253,0.78,0.125
10/18/2000,4.483,2.669,0.799,-0.293,0.947,0.361,3.444,0.919,0.12
10/19/2000,3.944,2.59,0.64,-0.318,0.846,0.186,2.998,0.824,0.122
10/20/2000,3.864,2.576,0.618,-0.336,0.876,0.13,2.945,0.786,0.133
10/23/2000,3.852,2.599,0.618,-0.332,0.815,0.152,2.917,0.806,0.129
10/24/2000,3.778,2.566,0.611,-0.294,0.814,0.081,2.889,0.766,0.123
10/25/2000,3.781,2.496,0.717,-0.275,0.663,0.18,2.959,0.705,0.117
10/26/2000,3.966,2.542,0.715,-0.275,0.724,0.26,3.129,0.718,0.119
10/27/2000,3.827,2.544,0.666,-0.275,0.71,0.182,2.987,0.714,0.126
10/30/2000,3.645,2.459,0.601,-0.275,0.749,0.111,2.953,0.577,0.115
10/31/2000,3.532,2.576,0.503,-0.251,0.666,0.038,2.749,0.666,0.117
11/1/2000,3.591,2.567,0.533,-0.217,0.653,0.055,2.76,0.718,0.113
11/2/2000,3.506,2.577,0.513,-0.213,0.597,0.032,2.658,0.731,0.117
11/3/2000,3.585,2.556,0.517,-0.114,0.61,0.016,2.666,0.801,0.118
11/6/2000,3.43,2.515,0.497,-0.113,0.477,0.054,2.541,0.772,0.117
11/7/2000,3.503,2.506,0.5,-0.087,0.51,0.074,2.597,0.786,0.12
11/8/2000,3.621,2.483,0.57,-0.093,0.57,0.091,2.735,0.77,0.116
11/9/2000,3.857,2.505,0.59,-0.106,0.701,0.167,2.97,0.776,0.111
11/10/2000,3.96,2.511,0.699,-0.149,0.692,0.207,3.126,0.724,0.11
11/13/2000,3.852,2.533,0.736,-0.161,0.672,0.072,3.124,0.674,0.054
11/14/2000,3.455,2.522,0.631,-0.177,0.635,-0.156,2.834,0.592,0.029
11/15/2000,3.428,2.528,0.607,-0.212,0.7,-0.195,2.815,0.577,0.036
11/16/2000,3.489,2.539,0.66,-0.24,0.774,-0.244,2.89,0.561,0.038
11/17/2000,3.489,2.573,0.674,-0.219,0.733,-0.272,2.874,0.579,0.036
11/20/2000,3.719,2.635,0.748,-0.27,0.719,-0.113,3.103,0.587,0.029
11/21/2000,3.682,2.684,0.726,-0.277,0.709,-0.16,3.058,0.601,0.023
11/22/2000,3.824,2.761,0.795,-0.308,0.7,-0.124,3.2,0.611,0.013
11/24/2000,3.6,2.765,0.724,-0.347,0.643,-0.185,3.007,0.583,0.01
11/27/2000,3.793,2.776,0.703,-0.31,0.76,-0.136,3.157,0.627,0.009
11/28/2000,3.855,2.793,0.734,-0.321,0.763,-0.114,3.239,0.617,-0.001
11/29/2000,4.084,2.86,0.709,-0.372,0.98,-0.093,3.469,0.615,0
11/30/2000,4.505,3.052,0.803,-0.384,0.961,0.073,3.765,0.739,0.001
